Slot,StrongSeed,WeakSeed
R1W1,W01,W16
R1W2,W02,W15
R1W3,W03,W14
R1W4,W04,W13
R1W5,W05,W12
R1W6,W06,W11
R1W7,W07,W10
R1W8,W08,W09
R1X1,X01,X16
R1X2,X02,X15
R1X3,X03,X14
R1X4,X04,X13
R1X5,X05,X12
R1X6,X06,X11
R1X7,X07,X10
R1X8,X08,X09
R1Y1,Y01,Y16
R1Y2,Y02,Y15
R1Y3,Y03,Y14
R1Y4,Y04,Y13
R1Y5,Y05,Y12
R1Y6,Y06,Y11
R1Y7,Y07,Y10
R1Y8,Y08,Y09
R1Z1,Z01,Z16
R1Z2,Z02,Z15
R1Z3,Z03,Z14
R1Z4,Z04,Z13
R1Z5,Z05,Z12
R1Z6,Z06,Z11
R1Z7,Z07,Z10
R1Z8,Z08,Z09
R2G1,R1W1,R1W2
R2G2,R1W3,R1W4
R2G3,R1W5,R1W6
R2G4,R1W7,R1W8
R2G5,R1X1,R1X2
R2G6,R1X3,R1X4
R2G7,R1X5,R1X6
R2G8,R1X7,R1X8
R2G9,R1Y1,R1Y2
R2G10,R1Y3,R1Y4
R2G11,R1Y5,R1Y6
R2G12,R1Y7,R1Y8
R2G13,R1Z1,R1Z2
R2G14,R1Z3,R1Z4
R2G15,R1Z5,R1Z6
R2G16,R1Z7,R1Z8
R3G1,R2G1,R2G2
R3G2,R2G3,R2G4
R3G3,R2G5,R2G6
R3G4,R2G7,R2G8
R3G5,R2G9,R2G10
R3G6,R2G11,R2G12
R3G7,R2G13,R2G14
R3G8,R2G15,R2G16
R4G1,R3G1,R3G2
R4G2,R3G3,R3G4
R4G3,R3G5,R3G6
R4G4,R3G7,R3G8
R5G1,R4G1,R4G2
R5G2,R4G3,R4G4
R6,R5G1,R5G2
